Probe Set ID,GSM1008929_Salinity_T.CEL(normalized),GSM1008930_Salinity_C.CEL(normalized)
AFFX-Gma-M10961-4_at,-0.13852906,0.13852906
AFFX-Gma-A00196-1_s_at,-0.11527133,0.11527133
AFFX-Gma-M15077-1_at,0.1257093,-0.12570918
AFFX-Gma-M15077-1_s_at,0,0
AFFX-Gma-M62653-1_s_at,0.07575488,-0.07575488
AFFX-Gma-U47295-1_at,0.079661846,-0.079661846
AFFX-Gma-AJ132968-1_at,-0.24477291,0.24477291
AFFX-Gma-NM_131175-1_at,-0.10455656,0.10455656
AFFX-Gma-J01636-1_at,-0.006278038,0.006278038
AFFX-Gma-E00696-1_s_at,0,0
AFFX-Gma-J01636-3_at,0.054907084,-0.054907084
AFFX-Gma-J01636-4_at,0,0
AFFX-Gma-K01486-1_at,-0.078611374,0.078611374
AFFX-Gma-X03453-1_at,-0.1779728,0.1779728
AFFX-Gma-X03453-2_s_at,0.006786346,-0.006785393
AFFX-Gma-AY056050-1_at,-0.05870819,0.05870819
AFFX-Gma-AF298789-1_at,0.043308496,-0.043308496
AFFX-Gma-J01347-1_s_at,0,0
AFFX-Gma-J01347-2_at,0.17612362,-0.17612362
AFFX-Gma-J01347-3_at,0.044741392,-0.044741392
AFFX-Gma-J01347-4_at,0.05278635,-0.05278635
AFFX-Gma-U46493-1_s_at,-0.1019783,0.1019783
AFFX-Gma-U57609-2_s_at,0.2226212,-0.22262144
AFFX-Gma-AB076373-1_at,0.0476079,-0.0476079
AFFX-Gma-AF323980-1_at,0.05763054,-0.05763054
AFFX-Gma-AF292559-2_s_at,-0.05035436,0.05035436
AFFX-Gma-AF292559-3_s_at,0.08240056,-0.08240056
AFFX-Gma-AF292559-4_s_at,0.02109313,-0.02109313
AFFX-Gma-AF292560-1_s_at,0,0
AFFX-Gma-M57289-1_s_at,0.1342299,-0.1342299
PsAffx.CL1Contig2_at,0.085202456,-0.085202456
PsAffx.CL1Contig3_at,-0.05162382,0.05162382
PsAffx.CL1Contig4_s_at,0.21663046,-0.21663046
PsAffx.CL1Contig43_s_at,0.09092116,-0.09092116
PsAffx.CL1Contig7_at,-0.24113536,0.24113536
PsAffx.CL1Contig8_at,0.19283867,-0.19283843
GmaAffx.80927.1.S1_s_at,-0.18623948,0.18623924
PsAffx.CL1Contig12_at,0.026305914,-0.026306152
PsAffx.CL1Contig14_s_at,0.04538226,-0.04538226
PsAffx.CL1Contig15_at,-0.24017811,0.24017811
PsAffx.C75000082_s_at,0,0
PsAffx.CL1Contig18_at,0.18282342,-0.18282342
PsAffx.CL1Contig19_at,-0.06479025,0.06479025
PsAffx.CL1Contig20_s_at,-0.19314909,0.19314909
PsAffx.CL1Contig21_at,0.073186636,-0.073186636
PsAffx.C16000024_s_at,-0.2759931,0.2759931
PsAffx.CL1Contig26_s_at,0.054662466,-0.054662704
PsAffx.CL1Contig36_at,-0.11248493,0.11248493
PsAffx.CL1Contig39_at,-0.15939999,0.15939999
PsAffx.CL1Contig41_at,0.12994385,-0.12994385
PsAffx.CL1Contig42_at,0.10659695,-0.10659695
PsAffx.C77000032_s_at,0.14279461,-0.14279461
PsAffx.CL1Contig45_at,-0.071780205,0.071780205
GmaAffx.7953.1.S1_s_at,0.14068031,-0.14068031
PsAffx.CL2Contig5_at,-0.1385293,0.1385293
PsAffx.CL2Contig5_s_at,-0.054261446,0.054261446
PsAffx.CL2Contig6_at,0.044449568,-0.044449568
PsAffx.CL2Contig7_at,-0.063420534,0.063420534
PsAffx.CL2Contig9_at,0.09092116,-0.090920925
PsAffx.CL2Contig10_at,0.13842106,-0.13842106
PsAffx.CL2Contig10_s_at,0.05162382,-0.05162382
PsAffx.CL2Contig11_s_at,0.054662466,-0.054662466
PsAffx.CL2Contig12_at,0.13852906,-0.13852906
PsAffx.CL2Contig13_at,-0.025226116,0.025226116
PsAffx.CL2Contig13_s_at,0.026397943,-0.026398182
PsAffx.CL2Contig16_at,-0.065224886,0.065224886
PsAffx.CL2Contig17_at,-0.039155126,0.039155245
PsAffx.CL2Contig19_at,0.042751312,-0.042751312
PsAffx.CL2Contig21_at,-0.12994361,0.12994385
PsAffx.CL2Contig22_at,0.044741392,-0.044741392
PsAffx.CL2Contig23_at,-0.12570906,0.12570906
PsAffx.CL2Contig24_at,-0.03784418,0.03784418
PsAffx.CL2Contig25_at,0.23928642,-0.23928642
PsAffx.psMC008xB24f_s_at,0.24497223,-0.24497247
PsAffx.CL3Contig1_at,0,0
PsAffx.CL3Contig5_at,0,0
PsAffx.CL3Contig9_at,0,0
PsAffx.CL3Contig10_at,-0.043308496,0.043308496
PsAffx.CL3Contig12_at,0,0
PsAffx.CL3Contig13_at,0,0
PsAffx.CL3Contig14_at,-0.024344206,0.024344444
PsAffx.CL4Contig1_at,0.09287119,-0.09287119
PsAffx.CL4Contig2_at,-0.11323643,0.11323619
PsAffx.CL4Contig3_at,0.076226234,-0.076225996
PsAffx.CL4Contig4_at,0.04050684,-0.04050684
PsAffx.CL4Contig7_at,0.04050684,-0.04050684
PsAffx.CL4Contig7_s_at,-0.18598294,0.18598318
PsAffx.CL4Contig9_at,0.04617977,-0.04617977
PsAffx.C19000116_s_at,-0.08739734,0.08739734
PsAffx.CL5Contig2_at,0.08804989,-0.08804989
PsAffx.CL5Contig4_at,-0.076999426,0.076999426
PsAffx.CL6Contig1_at,0.14068007,-0.14067984
PsAffx.CL6Contig4_at,0.10441041,-0.10441041
PsAffx.CL7Contig1_at,0,0
PsAffx.CL8Contig2_at,-0.09378767,0.09378767
PsAffx.CL9Contig2_at,-0.008916378,0.008916378
PsAffx.CL10Contig1_at,0.012901306,-0.012901306
GmaAffx.49163.1.S1_s_at,0.02388668,-0.02388668
PsAffx.C65000037_s_at,0.1656909,-0.1656909
PsAffx.CL12Contig2_at,0.020364046,-0.020364046
PsAffx.CL12Contig7_at,0.09661484,-0.09661484
PsAffx.CL12Contig8_s_at,-0.04050684,0.04050684
PsAffx.CL13Contig2_at,0,0
PsAffx.C40000061_s_at,-0.08804989,0.08804989
PsAffx.CL15Contig1_at,-0.04189372,0.04189372
PsAffx.CL16Contig1_at,-0.12575936,0.12575936
PsAffx.CL17Contig1_at,0.054662466,-0.054662466
PsAffx.CL17Contig2_at,0.07475877,-0.07475877
PsAffx.CL17Contig3_at,-0.028188229,0.028188229
PsAffx.CL17Contig4_at,-0.05875826,0.05875826
PsAffx.CL18Contig1_at,-0.08520234,0.08520222
PsAffx.CL19Contig1_at,0,0
PsAffx.CL20Contig1_at,0.068212986,-0.068212986
PsAffx.C76000010_at,0.21288347,-0.21288347
PsAffx.CL21Contig1_at,0.10440421,-0.10440397
PsAffx.CL22Contig1_at,0,0
PsAffx.C171000028_s_at,0.14081287,-0.14081287
PsAffx.CL26Contig1_at,0,0
PsAffx.CL27Contig1_at,-0.21950126,0.21950126
PsAffx.CL27Contig2_at,0.017947912,-0.017947912
PsAffx.CL28Contig1_at,0.055506706,-0.055506706
PsAffx.CL29Contig1_at,-0.079661846,0.079661846
PsAffx.CL30Contig1_at,0.094582796,-0.094582796
GmaAffx.76385.1.S1_s_at,0.2487235,-0.2487235
PsAffx.CL32Contig1_at,0.023941994,-0.023941994
PsAffx.CL32Contig2_at,-0.04236102,0.04236102
PsAffx.CL33Contig1_at,0.044741392,-0.044741273
PsAffx.C1000187_s_at,-0.05162382,0.05162382
PsAffx.CL36Contig1_at,0.054662466,-0.054662466
PsAffx.CL37Contig1_at,-0.046927214,0.046927214
