geneID,Mt_Mapped_count,Mt_RPKM,H2O_Mapped_count,H2O_RPKM,NaCl_Mapped_count,NaCl_RPKM,Na&Mt_Mapped_count,Na&Mt_RPKM
Glyma04g03280.1|PACid:16254694,451,14.395,354,11.244,553,14.175,618,12.239
Glyma04g03290.1|PACid:16254695,1121,36.183,1103,35.431,1373,35.592,1948,39.012
Glyma04g03300.1|PACid:16254696,2,0,5,0.252,2,0,4,0.126
Glyma04g03310.1|PACid:16254697,477,19.732,297,12.227,314,10.432,487,12.499
Glyma04g03310.2|PACid:16254698,355,17.534,198,9.732,247,9.797,430,13.177
Glyma04g03310.3|PACid:16254699,479,19.815,290,11.938,378,12.558,593,15.22
Glyma04g03330.1|PACid:16254701,0,0,12,0.944,2,0,2,0
Glyma04g03330.2|PACid:16254702,0,0,11,0.89,0,0,5,0
Glyma04g03330.3|PACid:16254703,2,0,3,0,1,0,6,0.427
Glyma04g03340.1|PACid:16254704,55,1.816,0,0,2,0,7,0.143
Glyma04g03350.1|PACid:16254705,28,2.005,2,0,1,0,10,0.444
Glyma04g03360.1|PACid:16254706,2,0,0,0,0,0,0,0
Glyma04g03370.1|PACid:16254707,0,0,0,0,1,0,0,0
Glyma04g03390.1|PACid:16254709,455,13.903,586,17.82,551,13.522,791,14.996
Glyma04g03400.1|PACid:16254710,4,0.498,20,2.479,0,0,2,0.155
Glyma04g03410.1|PACid:16254711,421,7.597,260,4.669,455,6.594,461,5.161
Glyma04g03420.1|PACid:16254712,17,0.749,8,0,28,0.991,28,0.766
Glyma04g03420.2|PACid:16254713,21,1.209,16,0.917,25,1.156,34,1.215
Glyma04g03420.3|PACid:16254714,33,1.666,20,1.005,33,1.338,39,1.221
Glyma04g03420.4|PACid:16254715,47,2.352,41,2.042,34,1.366,79,2.453
Glyma04g03420.5|PACid:16254716,24,1.217,28,1.413,18,0.733,66,2.076
Glyma04g03430.1|PACid:16254717,696,22.917,562,18.416,985,26.047,780,15.935
Glyma04g03440.1|PACid:16254718,652,15.309,1484,34.677,1050,19.8,1717,25.014
Glyma04g03470.1|PACid:16254721,28,2.567,97,8.849,16,1.178,62,3.526
Glyma04g03480.1|PACid:16254722,2,0,4,0,11,0.556,5,0
Glyma04g03490.1|PACid:16254723,756,15.224,860,17.235,1004,16.238,1184,14.794
Glyma04g03490.2|PACid:16254724,545,12.797,603,14.091,708,13.351,782,11.393
Glyma04g03500.1|PACid:16254725,950,6.573,850,5.853,1341,7.452,1188,5.1
Glyma04g03510.1|PACid:16254726,14,1.028,83,6.067,43,2.537,64,2.917
Glyma04g03510.2|PACid:16254727,10,0.818,54,4.398,17,1.117,38,1.93
Glyma04g03520.1|PACid:16254728,1,0,12,0.526,10,0.353,7,0.191
Glyma04g03540.1|PACid:16254730,146,2.729,28,0.521,31,0.465,49,0.568
Glyma04g03550.1|PACid:16254731,239,4.246,339,5.993,413,5.892,416,4.585
Glyma04g03560.1|PACid:16254732,450,10.878,90,2.165,135,2.621,50,0.75
Glyma04g03580.1|PACid:16254734,36,1.511,21,0.877,37,1.247,35,0.911
Glyma04g03590.1|PACid:16254735,210,6.366,222,6.697,329,8.01,454,8.539
Glyma04g03590.2|PACid:16254736,233,7.235,225,6.953,257,6.409,302,5.819
Glyma04g03590.3|PACid:16254737,217,6.72,236,7.273,287,7.138,430,8.262
Glyma04g03600.1|PACid:16254738,184,6.389,63,2.177,112,3.123,274,5.903
Glyma04g03610.1|PACid:16254739,450,16.063,337,11.972,527,15.108,600,13.289
Glyma04g03620.1|PACid:16254740,279,14.598,147,7.654,224,9.413,335,10.875
Glyma04g03620.2|PACid:16254741,167,8.778,140,7.323,176,7.43,218,7.109
Glyma04g03620.3|PACid:16254742,182,9.791,122,6.531,144,6.221,209,6.976
Glyma04g03630.1|PACid:16254743,162,8.25,130,6.589,246,10.061,226,7.141
Glyma04g03650.1|PACid:16254745,730,9.726,698,9.255,708,7.576,879,7.266
Glyma04g03660.1|PACid:16254746,2,0,0,0,0,0,1,0
Glyma04g03670.1|PACid:16254747,0,0,16,0.625,9,0,65,1.583
Glyma04g03680.1|PACid:16254748,211,10.421,277,13.615,222,8.806,683,20.93
Glyma04g03690.1|PACid:16254749,118,4.239,25,0.894,92,2.654,111,2.474
Glyma04g03710.1|PACid:16254751,77,1.001,20,0,25,0.261,67,0.541
Glyma04g03720.1|PACid:16254752,138,5.379,170,6.594,180,5.634,291,7.037
Glyma04g03730.1|PACid:16254753,135,5.244,86,3.324,188,5.865,139,3.35
Glyma04g03740.1|PACid:16254754,6,0,166,3.626,2,0,123,1.675
Glyma04g03750.1|PACid:16254755,239,3.981,1029,17.055,312,4.173,878,9.073
Glyma04g03760.1|PACid:16254756,7,0.836,5,0.594,4,0.383,28,2.074
Glyma04g03770.1|PACid:16254757,0,0,8,0.285,6,0,11,0.244
Glyma04g03780.1|PACid:16254758,148,3.218,434,9.391,215,3.754,484,6.529
Glyma04g03790.1|PACid:16254759,22,0.478,0,0,0,0,0,0
Glyma04g03800.1|PACid:16254760,24,1.993,0,0,0,0,0,0
Glyma04g03810.1|PACid:16254761,269,13.46,253,12.598,208,8.359,343,10.649
Glyma04g03810.2|PACid:16254762,155,8.792,130,7.339,123,5.603,211,7.426
Glyma04g03820.1|PACid:16254763,1950,178.754,765,69.788,1677,123.461,1919,109.144
Glyma04g03830.1|PACid:16254764,1,0,2,0,1,0,0,0
Glyma04g03840.1|PACid:16254765,227,7.166,435,13.665,285,7.225,691,13.533
Glyma04g03840.2|PACid:16254766,44,1.82,124,5.105,89,2.957,189,4.851
Glyma04g03840.3|PACid:16254767,186,6.619,288,10.199,196,5.602,507,11.194
Glyma04g03840.4|PACid:16254768,246,7.765,487,15.299,267,6.769,741,14.513
Glyma04g03850.1|PACid:16254769,2,0,1,0,2,0,3,0
Glyma04g03860.1|PACid:16254770,994,29.205,1238,36.198,1481,34.946,1970,35.912
Glyma04g03870.1|PACid:16254771,120,2.065,258,4.417,120,1.658,288,3.074
Glyma04g03870.2|PACid:16254772,76,1.447,146,2.766,100,1.529,217,2.563
Glyma04g03870.3|PACid:16254773,149,2.611,262,4.568,83,1.168,332,3.609
Glyma04g03880.1|PACid:16254774,266,3.796,160,2.272,338,3.874,291,2.576
Glyma04g03880.2|PACid:16254775,35,1.355,15,0.578,45,1.399,40,0.961
Glyma04g03890.1|PACid:16254776,12,1.127,2,0,0,0,8,0.466
Glyma04g03900.1|PACid:16254777,2,0,13,1.015,13,0.819,3,0.146
Glyma04g03910.1|PACid:16254778,14,0.76,11,0.594,7,0.305,20,0.674
Glyma04g03920.1|PACid:16254779,501,24.638,38,1.86,74,2.923,129,3.936
Glyma04g03930.1|PACid:16254780,334,7.49,62,1.384,103,1.855,78,1.085
Glyma04g03940.1|PACid:16254781,410,13.777,287,9.598,667,18,576,12.009
Glyma04g03950.1|PACid:16254782,389,10.872,241,6.703,465,10.437,437,7.578
Glyma04g03950.2|PACid:16254783,135,4.88,89,3.202,164,4.761,149,3.342
Glyma04g03960.1|PACid:16254784,2,0,0,0,0,0,0,0
Glyma04g03970.1|PACid:16254785,12,0,9,0,6,0,14,0.481
Glyma04g03980.1|PACid:16254786,253,9.174,628,22.662,235,6.844,844,18.988
Glyma04g03990.1|PACid:16254787,84,4.65,2,0,113,5.024,24,0.824
Glyma04g04000.1|PACid:16254788,126,4.498,116,4.121,182,5.218,205,4.54
Glyma04g04020.1|PACid:16254790,118,3.355,192,5.433,154,3.517,201,3.546
Glyma04g04030.1|PACid:16254791,108,5.404,13,0.647,11,0.442,10,0.31
Glyma04g04040.1|PACid:16254792,148,6.498,27,1.18,27,0.952,37,1.008
Glyma04g04050.1|PACid:16254793,419,16.165,167,6.412,160,4.958,263,6.296
Glyma04g04060.1|PACid:16254794,431,6.212,793,11.375,657,7.605,894,7.995
Glyma04g04070.1|PACid:16254795,624,27.607,544,23.951,753,26.755,825,22.646
Glyma04g04070.2|PACid:16254796,150,8.224,116,6.329,259,11.404,224,7.62
Glyma04g04080.1|PACid:16254797,47,0.916,65,1.261,53,0.829,113,1.366
Glyma04g04100.1|PACid:16254799,1289,15.164,2101,24.598,2032,19.199,2513,18.343
Glyma04g04100.2|PACid:16254800,68,2.405,123,4.329,120,3.408,93,2.041
Glyma04g04110.1|PACid:16254801,17,1.855,2,0,18,1.578,22,1.49
Glyma04g04120.1|PACid:16254802,581,10.534,93,1.678,71,1.034,150,1.687
Glyma04g04130.1|PACid:16254803,117,10.754,56,5.122,158,11.663,130,7.414
Glyma04g04140.1|PACid:16254804,36,0.762,23,0.485,44,0.748,44,0.578
Glyma04g04150.1|PACid:16254805,106,4.82,79,3.575,69,2.52,148,4.175
Glyma04g04150.2|PACid:16254806,74,3.735,44,2.21,50,2.027,98,3.069
Glyma04g04150.3|PACid:16254807,57,3.775,63,4.153,67,3.564,68,2.794
Glyma04g04160.1|PACid:16254808,710,38.195,774,41.437,1130,48.821,1338,44.659
Glyma04g04170.1|PACid:16254809,453,12.418,1210,33.01,2069,45.55,3406,57.93
Glyma04g04180.1|PACid:16254810,555,7.92,420,5.964,438,5.02,543,4.807
Glyma04g04190.1|PACid:16254811,10,0,0,0,0,0,1,0
Glyma04g04200.1|PACid:16254812,159,5.005,0,0,0,0,3,0
Glyma04g04200.2|PACid:16254813,72,3.423,0,0,0,0,0,0
Glyma04g04210.1|PACid:16254814,258,4.791,277,5.119,327,4.877,392,4.517
Glyma04g04220.1|PACid:16254815,704,12.316,526,9.157,623,8.753,857,9.302
Glyma04g04230.1|PACid:16254816,4,0,2,0,0,0,4,0
Glyma04g04240.1|PACid:16254817,4,0,36,1.011,10,0.227,104,1.821
Glyma04g04250.1|PACid:16254818,62,1.512,104,2.523,6,0,129,1.951
Glyma04g04260.1|PACid:16254819,88,2.132,430,10.367,59,1.148,248,3.728
Glyma04g04270.1|PACid:16254820,2,0,25,0.618,4,0,20,0.308
Glyma04g04290.1|PACid:16254822,215,5.838,13,0.351,3,0,66,1.112
Glyma04g04300.1|PACid:16254823,1107,20.102,840,15.18,827,12.061,1027,11.571
Glyma04g04310.1|PACid:16254824,844,42.982,53,2.686,60,2.454,90,2.844
Glyma04g04330.1|PACid:16254826,23,1.298,19,1.067,20,0.907,54,1.891
Glyma04g04350.1|PACid:16254828,109,7.758,605,42.851,334,19.091,767,33.869
Glyma04g04380.1|PACid:16254831,2169,24.13,335,3.709,532,4.753,1007,6.951
Glyma04g04390.1|PACid:16254832,332,5.826,40,0.699,30,0.423,78,0.849
Glyma04g04400.1|PACid:16254833,17,0.529,0,0,0,0,5,0
Glyma04g04400.2|PACid:16254834,29,0.903,0,0,2,0,1,0
Glyma04g04420.1|PACid:16254835,60,2.594,4,0,25,0.868,27,0.724
Glyma04g04440.1|PACid:16254837,33,1.083,17,0.555,19,0.501,48,0.978
Glyma04g04450.1|PACid:16254838,128,7.19,100,5.59,275,12.405,205,7.144
Glyma04g04460.1|PACid:16254839,425,13.914,14,0,41,1.078,74,1.503
Glyma04g04470.1|PACid:16254840,4,0.14,2,0,0,0,0,0
Glyma04g04480.1|PACid:16254841,60,2.247,8,0,9,0,21,0.488
Glyma04g04490.1|PACid:16254842,12,0.517,32,1.372,22,0.761,39,1.042
Glyma04g04500.1|PACid:16254843,35,0.589,695,11.638,35,0.473,305,3.184
Glyma04g04510.1|PACid:16254844,31,0.487,311,4.858,146,1.84,175,1.704
Glyma04g04530.1|PACid:16254846,118,4.173,119,4.188,204,5.794,167,3.664
Glyma04g04530.2|PACid:16254847,168,5.96,128,4.519,213,6.069,202,4.446
Glyma04g04530.3|PACid:16254848,140,5.109,132,4.794,180,5.275,151,3.419
Glyma04g04540.1|PACid:16254849,608,29.15,480,22.902,785,30.226,964,28.676
Glyma04g04560.1|PACid:16254851,23,0,16,0,34,0,34,0
Glyma04g04580.1|PACid:16254853,515,36.427,435,30.62,687,39.025,807,35.415
Glyma04g04590.1|PACid:16254854,107,2.472,116,2.667,142,2.635,136,1.949
Glyma04g04590.2|PACid:16254855,74,1.741,64,1.499,98,1.852,112,1.635
Glyma04g04600.1|PACid:16254856,66,2.218,1,0,12,0.324,4,0
Glyma04g04610.1|PACid:16254857,35,1.146,0,0,0,0,2,0
Glyma04g04620.1|PACid:16254858,7,0.231,0,0,1,0.027,0,0
Glyma04g04630.1|PACid:16254859,40,1.406,2,0,9,0,13,0.284
Glyma04g04650.1|PACid:16254861,20,1.163,8,0.463,4,0,4,0
Glyma04g04660.1|PACid:16254862,137,3.025,92,2.021,104,1.844,142,1.945
Glyma04g04680.1|PACid:16254864,8,0.173,0,0,6,0,2,0
Glyma04g04690.1|PACid:16254865,109,13.01,129,15.323,129,12.366,176,13.034
Glyma04g04700.1|PACid:16254866,141,11.54,10,0.815,22,1.446,10,0.508
Glyma04g04700.2|PACid:16254867,47,3.903,15,1.239,18,1.2,10,0.515
Glyma04g04710.1|PACid:16254868,408,13.75,404,13.55,526,14.237,628,13.132
Glyma04g04720.1|PACid:16254869,412,14.349,225,7.799,427,11.944,465,10.048
Glyma04g04730.1|PACid:16254870,594,8.828,235,3.476,350,4.178,263,2.425
Glyma04g04740.1|PACid:16254871,371,4.734,410,5.206,545,5.585,498,3.943
Glyma04g04750.1|PACid:16254872,4,0,0,0,4,0,2,0
Glyma04g04760.1|PACid:16254873,117,5.729,296,14.425,49,1.927,375,11.393
Glyma04g04770.1|PACid:16254874,926,44.771,1602,77.081,482,18.716,2484,74.514
Glyma04g04770.2|PACid:16254875,474,29.359,816,50.298,239,11.889,1118,42.964
Glyma04g04780.1|PACid:16254876,523,7.101,633,8.552,705,7.687,771,6.495
Glyma04g04790.1|PACid:16254877,5,0.159,9,0,11,0.281,8,0
Glyma04g04810.1|PACid:16254879,636,7.145,812,9.078,1020,9.202,1229,8.566
Glyma04g04820.1|PACid:16254880,11,0.852,0,0,0,0,2,0
Glyma04g04830.1|PACid:16254881,914,23.274,1848,46.83,1377,28.16,2469,39.007
Glyma04g04840.1|PACid:16254882,356,9.045,315,7.965,468,9.549,459,7.236
Glyma04g04850.1|PACid:16254883,71,1.136,29,0.462,23,0.296,38,0.377
Glyma04g04860.1|PACid:16254884,1,0,0,0,0,0,0,0
Glyma04g04870.1|PACid:16254885,361,13.697,333,12.574,402,12.25,518,12.194
Glyma04g04880.1|PACid:16254886,1590,92.483,995,57.595,1480,69.135,1528,55.143
Glyma04g04910.1|PACid:16254889,60,3.716,5,0,56,2.786,12,0.461
Glyma04g04920.1|PACid:16254890,891,10.736,596,7.147,764,7.393,1023,7.648
Glyma04g04920.2|PACid:16254891,398,5.291,311,4.114,359,3.833,409,3.373
Glyma04g04930.1|PACid:16254892,1,0,17,0.551,40,1.046,15,0.303
Glyma04g04940.1|PACid:16254893,1,0.073,8,0.585,32,1.888,35,1.595
Glyma04g04950.1|PACid:16254894,2,0,27,1.502,26,1.167,24,0.832
Glyma04g04970.1|PACid:16254896,26,0.803,0,0,7,0.174,2,0
Glyma04g04980.1|PACid:16254897,220,5.96,101,2.723,159,3.459,132,2.219
Glyma04g04990.1|PACid:16254898,188,5.468,111,3.213,154,3.597,245,4.421
Glyma04g05000.1|PACid:16254899,245,6.748,399,10.937,433,9.579,700,11.963
Glyma04g05010.1|PACid:16254900,118,10.993,2,0.185,1,0,2,0
Glyma04g05020.1|PACid:16254901,96,2.941,120,3.659,138,3.396,155,2.946
Glyma04g05030.1|PACid:16254902,2,0,6,0.593,1,0,2,0
Glyma04g05040.1|PACid:16254903,55,1.708,110,3.399,79,1.97,113,2.177
Glyma04g05070.1|PACid:16254906,205,6.165,273,8.171,307,7.415,361,6.736
Glyma04g05080.1|PACid:16254907,169,3.731,2,0,7,0,0,0
Glyma04g05090.1|PACid:16254908,39,1.568,2,0,1,0,12,0.299
Glyma04g05100.1|PACid:16254909,693,11.2,138,2.22,149,1.934,348,3.49
Glyma04g05110.1|PACid:16254910,287,7.963,66,1.822,178,3.966,158,2.72
Glyma04g05120.1|PACid:16254911,275,13.882,297,14.92,352,14.27,440,13.78
Glyma04g05140.1|PACid:16254913,159,7.406,62,2.874,92,3.442,132,3.815
Glyma04g05190.1|PACid:16254918,2,0,0,0,0,0,4,0
Glyma04g05190.2|PACid:16254919,2,0,1,0,0,0,0,0
Glyma04g05190.3|PACid:16254920,6,0,2,0,6,0.144,4,0
Glyma04g05200.1|PACid:16254921,7,0,25,1.15,22,0.816,17,0.487
Glyma04g05210.1|PACid:16254922,170,5.381,18,0.567,2,0,6,0
Glyma04g05220.1|PACid:16254923,308,5.063,5,0,4,0,59,0.602
Glyma04g05240.1|PACid:16254925,65,4.836,95,7.035,84,5.02,120,5.54
Glyma04g05250.1|PACid:16254926,160,3.788,530,12.487,334,6.35,740,10.87
Glyma04g05250.2|PACid:16254927,116,2.954,513,13,317,6.483,707,11.17
Glyma04g05250.3|PACid:16254928,154,3.878,610,15.288,387,7.827,871,13.609
Glyma04g05250.4|PACid:16254929,171,4.048,794,18.707,462,8.784,1143,16.789
Glyma04g05250.5|PACid:16254930,211,5.155,607,14.759,444,8.712,1053,15.962
Glyma04g05250.6|PACid:16254931,137,3.659,594,15.789,417,8.945,1026,17.003
Glyma04g05260.1|PACid:16254932,903,36.822,933,37.862,1049,34.354,1383,34.99
Glyma04g05280.1|PACid:16254934,2400,38.462,2278,36.331,2752,35.42,2882,28.656
Glyma04g05290.1|PACid:16254935,76,3.722,51,2.485,74,2.91,65,1.975
Glyma04g05320.1|PACid:16254938,358,8.511,971,22.972,350,6.682,1370,20.207
Glyma04g05330.1|PACid:16254939,1142,23.923,1011,21.076,1544,25.976,1541,20.029
Glyma04g05340.1|PACid:16254940,1307,69.983,1300,69.272,1162,49.969,2126,70.629
Glyma04g05350.1|PACid:16254941,547,18.168,201,6.644,676,18.032,878,18.093
Glyma04g05360.1|PACid:16254942,94,3.026,26,0.833,48,1.241,87,1.737
Glyma04g05380.1|PACid:16254944,17,1.107,14,0.907,11,0.575,27,1.091
Glyma04g05420.1|PACid:16254949,390,4.33,64,0.707,54,0.482,61,0.42
Glyma04g05420.2|PACid:16254950,244,3.835,17,0.266,46,0.581,40,0.39
Glyma04g05430.1|PACid:16254951,1,0,0,0,0,0,0,0
Glyma04g05440.1|PACid:16254952,27,2.891,0,0,4,0.344,0,0
Glyma04g05450.1|PACid:16254953,12,0.496,1,0,7,0.233,11,0
Glyma04g05460.1|PACid:16254954,387,17.255,95,4.215,206,7.376,341,9.433
Glyma04g05480.1|PACid:16254956,75,2.711,72,2.59,130,3.774,184,4.127
Glyma04g05490.1|PACid:16254957,172,14.386,403,33.544,444,29.824,661,34.302
Glyma04g05500.1|PACid:16254958,306,9.4,315,9.63,878,21.662,1656,31.564
Glyma04g05500.2|PACid:16254959,292,8.97,323,9.875,931,22.969,1819,34.67
Glyma04g05510.1|PACid:16254960,2,0,13,0,0,0,6,0
Glyma04g05520.1|PACid:16254961,237,6.021,35,0.885,85,1.734,91,1.434
Glyma04g05530.1|PACid:16254962,141,4.752,224,7.513,238,6.442,551,11.521
Glyma04g05550.1|PACid:16254964,285,14.45,1135,57.269,1858,75.656,3365,105.855
Glyma04g05550.2|PACid:16254965,105,6.995,491,32.552,910,48.688,1721,71.136
Glyma04g05560.1|PACid:16254966,177,5.879,367,12.13,371,9.896,539,11.107
Glyma04g05560.2|PACid:16254967,108,4.723,151,6.572,171,6.006,247,6.702
Glyma04g05570.1|PACid:16254968,148,14.62,408,40.108,152,12.058,504,30.889
Glyma04g05580.1|PACid:16254969,1550,42.9,1934,53.271,1909,42.434,2471,42.433
Glyma04g05590.1|PACid:16254970,46,3.156,3,0,4,0.22,12,0.511
Glyma04g05600.1|PACid:16254971,6,0.095,8,0,1,0,13,0
Glyma04g05620.1|PACid:16254972,468,5.952,728,9.214,535,5.464,1109,8.751
Glyma04g05620.2|PACid:16254973,300,4.265,462,6.536,395,4.51,639,5.636
Glyma04g05620.3|PACid:16254974,528,6.922,867,11.312,731,7.697,1238,10.07
Glyma04g05620.4|PACid:16254975,455,5.787,669,8.467,532,5.434,1008,7.954
Glyma04g05630.1|PACid:16254976,26,0.657,3,0.075,9,0,4,0
Glyma04g05650.1|PACid:16254978,107,5.729,126,6.714,107,4.601,143,4.751
Glyma04g05650.2|PACid:16254979,81,4.337,79,4.21,105,4.515,127,4.219
Glyma04g05660.1|PACid:16254980,471,18.871,675,26.913,616,19.821,1005,24.982
Glyma04g05670.1|PACid:16254981,1111,25.259,1029,23.282,917,16.743,1408,19.861
Glyma04g05670.2|PACid:16254982,986,23.736,885,21.202,742,14.345,1267,18.924
Glyma04g05680.1|PACid:16254983,193,10.007,196,10.113,160,6.662,268,8.621
Glyma04g05680.2|PACid:16254984,80,4.516,85,4.775,76,3.445,111,3.887
Glyma04g05690.1|PACid:16254985,2370,68.926,156,4.515,883,20.624,1317,23.764
Glyma04g05700.1|PACid:16254986,5,0,8,0.563,2,0,8,0
Glyma04g05710.1|PACid:16254987,318,7.361,246,5.667,324,6.023,394,5.659
Glyma04g05720.1|PACid:16254988,13,0.937,2,0,0,0,7,0.313
Glyma04g05740.1|PACid:16254990,35,1.159,38,1.252,56,1.489,80,1.644
Glyma04g05760.1|PACid:16254992,54,1.165,47,1.009,60,1.04,59,0.79
Glyma04g05780.1|PACid:16254994,6,0,0,0,0,0,6,0
Glyma04g05790.1|PACid:16254995,1252,18.926,500,7.522,1125,13.658,1081,10.139
Glyma04g05800.1|PACid:16254996,5541,512.032,2377,218.594,7973,591.705,7044,403.861
Glyma04g05810.1|PACid:16254997,1495,79.308,966,50.998,3204,136.504,2325,76.525
Glyma04g05820.1|PACid:16254998,19,1.944,0,0,0,0,0,0
Glyma04g05840.1|PACid:16255000,158,3.657,362,8.339,761,14.148,324,4.653
Glyma04g05850.1|PACid:16255001,469,5.971,370,4.688,494,5.051,520,4.108
Glyma04g05850.2|PACid:16255002,523,6.688,343,4.365,532,5.464,666,5.284
Glyma04g05860.1|PACid:16255003,103,4.98,25,1.203,170,6.601,112,3.36
Glyma04g05870.1|PACid:16255004,494,24.827,40,2.001,153,6.175,243,7.577
Glyma04g05880.1|PACid:16255005,52,0,21,0,53,0,32,0
Glyma04g05890.1|PACid:16255006,999,46.723,393,18.292,1516,56.943,842,24.433
Glyma04g05900.1|PACid:16255007,29,0.427,13,0,12,0,40,0.366
Glyma04g05900.2|PACid:16255008,12,0,0,0,8,0,12,0
Glyma04g05910.1|PACid:16255009,113,1.581,78,1.086,95,1.067,72,0.625
Glyma04g05920.1|PACid:16255010,265,1.828,191,1.311,304,1.684,266,1.139
Glyma04g05920.2|PACid:16255011,170,1.22,66,0.471,158,0.91,105,0.467
Glyma04g05920.3|PACid:16255012,166,1.19,77,0.549,214,1.232,148,0.658
Glyma04g05940.1|PACid:16255013,26,1.468,7,0,211,9.565,59,2.066
Glyma04g05960.1|PACid:16255015,302,8.988,112,3.317,183,4.374,163,3.01
Glyma04g05970.1|PACid:16255016,896,33.884,1195,44.973,1502,45.618,1744,40.92
Glyma04g05980.1|PACid:16255017,0,0,0,0,11,0.224,4,0
Glyma04g05990.1|PACid:16255018,569,45.277,584,46.247,777,49.655,1122,55.394
Glyma04g06000.1|PACid:16255019,113,7.847,44,3.041,67,3.737,74,3.188
Glyma04g06000.2|PACid:16255020,101,7.82,32,2.466,57,3.544,111,5.332
Glyma04g06010.1|PACid:16255021,1807,42.869,1997,47.148,1942,37,2946,43.363
Glyma04g06020.1|PACid:16255022,86,1.133,56,0.734,111,1.174,125,1.021
Glyma04g06060.1|PACid:16255025,699,5.232,809,6.026,1053,6.329,906,4.207
Glyma04g06070.1|PACid:16255026,87,10.277,35,4.115,54,5.123,49,3.591
Glyma04g06080.1|PACid:16255027,3,0,3,0,0,0,0,0
Glyma04g06110.1|PACid:16255030,2631,56.141,2084,44.254,2984,51.136,3310,43.822
Glyma04g06120.1|PACid:16255031,225,7.102,300,9.424,408,10.343,343,6.718
Glyma04g06150.1|PACid:16255034,0,0,0,0,0,0,8,0
Glyma04g06160.1|PACid:16255035,56,1.55,73,2.011,61,1.356,71,1.219
Glyma04g06170.1|PACid:16255036,643,9.916,690,10.59,377,4.669,1265,12.104
Glyma04g06190.1|PACid:16255037,33,0,2,0,8,0,17,0
Glyma04g06200.1|PACid:16255038,7,0,18,0,21,0,22,0
Glyma04g06210.1|PACid:16255039,443,17.626,458,18.134,666,21.281,968,23.896
Glyma04g06230.1|PACid:16255041,255,17.602,114,7.831,315,17.463,170,7.281
Glyma04g06240.1|PACid:16255042,688,25.431,400,14.714,1028,30.517,581,13.324
Glyma04g06250.1|PACid:16255043,541,19.805,796,29,614,18.052,1222,27.756
Glyma04g06250.2|PACid:16255044,523,19.146,829,30.202,643,18.905,1280,29.074
Glyma04g06260.1|PACid:16255045,428,6.898,400,6.415,485,6.277,610,6.1
Glyma04g06270.1|PACid:16255046,15,3.243,39,8.391,24,4.167,64,8.585
Glyma04g06280.1|PACid:16255047,326,13.153,439,17.627,331,10.725,579,14.494
Glyma04g06290.1|PACid:16255048,2,0,0,0,0,0,0,0
Glyma04g06310.1|PACid:16255049,379,10.242,580,15.599,629,13.652,820,13.749
Glyma04g06320.1|PACid:16255050,1131,24.315,1531,32.755,1837,31.717,2654,35.4
Glyma04g06330.1|PACid:16255051,149,12.195,236,19.223,169,11.109,418,21.227
Glyma04g06340.1|PACid:16255052,1149,130.355,812,91.678,1288,117.355,1655,116.496
Glyma04g06350.1|PACid:16255053,135,2.14,115,1.814,161,2.049,124,1.219
Glyma04g06360.1|PACid:16255054,12,1.964,14,2.281,8,0,13,1.32
Glyma04g06380.1|PACid:16255056,102,3.005,138,4.045,194,4.589,171,3.125
Glyma04g06380.2|PACid:16255057,203,6.089,324,9.672,390,9.395,424,7.891
Glyma04g06380.3|PACid:16255058,99,2.916,139,4.075,202,4.779,202,3.692
Glyma04g06380.4|PACid:16255059,126,3.712,130,3.811,159,3.761,172,3.143
Glyma04g06400.1|PACid:16255061,134,2.15,95,1.517,131,1.688,129,1.284
Glyma04g06410.1|PACid:16255062,620,39.689,7,0.446,40,2.056,4,0
Glyma04g06420.1|PACid:16255063,2345,42.117,2432,43.468,2028,29.252,3406,37.954
Glyma04g06430.1|PACid:16255064,89,2.048,2,0,0,0,12,0
Glyma04g06440.1|PACid:16255065,975,10.278,871,9.137,928,7.856,1120,7.325
Glyma04g06450.1|PACid:16255066,32,1.239,9,0,4,0,9,0.216
Glyma04g06460.1|PACid:16255067,60,1.814,66,1.986,69,1.675,68,1.276
Glyma04g06470.1|PACid:16255068,2,0,21,0.966,18,0.668,58,1.663
Glyma04g06480.1|PACid:16255069,2,0,9,0.446,7,0,12,0.371
Glyma04g06520.1|PACid:16255073,140,3.688,641,16.803,664,14.047,1133,18.517
Glyma04g06540.1|PACid:16255075,209,3.574,135,2.298,176,2.417,275,2.918
Glyma04g06540.2|PACid:16255076,150,2.884,102,1.952,110,1.698,114,1.36
Glyma04g06560.1|PACid:16255078,367,4.834,293,3.84,361,3.819,481,3.931
Glyma04g06560.2|PACid:16255079,368,4.847,287,3.762,329,3.48,518,4.233
Glyma04g06560.3|PACid:16255080,349,4.602,306,4.015,314,3.325,409,3.346
Glyma04g06560.4|PACid:16255081,383,5.05,300,3.937,346,3.664,472,3.862
Glyma04g06570.1|PACid:16255082,1294,16.24,1495,18.672,1732,17.458,1886,14.686
Glyma04g06570.2|PACid:16255083,1161,16.363,1285,18.024,1545,17.488,1811,15.837
Glyma04g06580.1|PACid:16255084,643,22.882,728,25.781,382,10.917,1054,23.271
Glyma04g06580.2|PACid:16255085,452,16.185,556,19.813,317,9.116,758,16.84
Glyma04g06590.1|PACid:16255086,565,13.404,40,0.944,159,3.029,165,2.429
Glyma04g06600.1|PACid:16255087,305,4.971,236,3.828,465,6.087,251,2.538
