geneID,Mt_Mapped_count,Mt_RPKM,H2O_Mapped_count,H2O_RPKM,NaCl_Mapped_count,NaCl_RPKM,Na&Mt_Mapped_count,Na&Mt_RPKM
Glyma0079s00270.1|PACid:16242783,7,0.498,10,0.708,4,0.229,7,0.309
Glyma0079s00280.1|PACid:16242784,0,0,0,0,0,0,4,0.083
Glyma0079s00290.1|PACid:16242785,3,0,0,0,0,0,4,0
Glyma0079s00310.1|PACid:16242787,21,1.796,6,0.511,7,0.481,9,0.477
Glyma0079s00320.1|PACid:16242788,1,0,5,0.627,2,0,1,0
Glyma0079s00330.1|PACid:16242789,84,10.35,48,5.886,60,5.937,29,2.217
Glyma0079s00340.1|PACid:16242790,2,0,0,0,0,0,0,0
Glyma0079s00350.1|PACid:16242791,14,0,7,1.079,20,2.487,6,0
Glyma0079s00360.1|PACid:16242792,32,4.029,11,0,11,0,17,1.328
Glyma0079s00370.1|PACid:16242793,17,0,9,0,3,0,5,0.409
Glyma0080s00230.1|PACid:16242797,0,0,0,0,0,0,2,0
Glyma0084s00210.1|PACid:16242798,7433,251.987,12654,426.915,20689,563.285,28435,598.096
Glyma0086s00200.1|PACid:16242803,0,0,0,0,0,0,1,0
Glyma0090s00200.1|PACid:16242806,297,3.163,764,8.097,185,1.582,708,4.678
Glyma0090s00210.1|PACid:16242807,63,0.875,332,4.589,102,1.138,355,3.059
Glyma0090s00230.1|PACid:16242809,41,0.504,186,2.273,53,0.523,202,1.539
Glyma0092s00200.1|PACid:16242815,98,3.119,128,4.055,40,1.022,167,3.298
Glyma0092s00210.1|PACid:16242816,295,11.902,320,12.849,287,9.3,465,11.64
Glyma0092s00230.1|PACid:16242818,262,11.037,853,35.761,830,28.081,1523,39.808
Glyma0092s00240.1|PACid:16242819,253,10.858,400,17.084,467,16.096,559,14.885
Glyma0101s00230.1|PACid:16242841,0,0,0,0,0,0,1,0
Glyma0103s00220.1|PACid:16242847,5,0.289,13,0.749,23,1.069,14,0.503
Glyma0103s00230.1|PACid:16242848,28,1.773,20,1.26,18,0.915,19,0.746
Glyma0103s00290.1|PACid:16242853,48,1.12,23,0.534,57,1.068,46,0.666
Glyma0121s00200.1|PACid:16242859,1,0,0,0,2,0,1,0
Glyma0121s00240.1|PACid:16242862,7,0.088,1,0.013,4,0.041,12,0.094
Glyma0146s00220.1|PACid:16242874,404,5.225,371,4.775,547,5.681,418,3.354
Glyma0165s00200.1|PACid:16242879,1,0,1,0,2,0.088,2,0
Glyma0169s00200.1|PACid:16242882,266,26.504,283,28.062,272,21.766,402,24.852
Glyma0169s00200.2|PACid:16242883,315,31.387,343,34.012,426,34.089,605,37.402
Glyma0169s00210.1|PACid:16242884,4328,114.269,7180,188.654,8821,187.04,12169,199.342
Glyma0196s00210.1|PACid:16242888,119,1.342,406,4.557,109,0.987,347,2.428
Glyma01g00270.1|PACid:16242891,75,1.628,70,1.512,91,1.586,105,1.414
Glyma01g00300.1|PACid:16242894,507,10.879,392,8.371,451,7.772,438,5.831
Glyma01g00300.2|PACid:16242895,28,5.629,3,0.6,28,4.521,23,2.869
Glyma01g00320.1|PACid:16242897,126,1.832,133,1.925,182,2.125,181,1.633
Glyma01g00320.2|PACid:16242898,159,2.426,170,2.581,224,2.745,216,2.045
Glyma01g00320.4|PACid:16242899,2,0,3,0,6,1.104,5,0.711
Glyma01g00380.1|PACid:16242901,790,12.486,761,11.97,802,10.18,1043,10.228
Glyma01g00400.1|PACid:16242902,100,5.536,126,6.941,123,5.468,193,6.629
Glyma01g00400.2|PACid:16242903,57,4.057,81,5.737,72,4.115,101,4.46
Glyma01g00400.3|PACid:16242904,88,4.871,131,7.217,141,6.268,194,6.663
Glyma01g00400.4|PACid:16242905,132,7.307,155,8.539,166,7.38,217,7.453
Glyma01g00410.1|PACid:16242906,630,16.633,349,9.17,778,16.497,696,11.401
Glyma01g00420.1|PACid:16242907,234,3.327,50,0.707,102,1.165,103,0.909
Glyma01g00430.1|PACid:16242908,1436,21.708,1226,18.444,1709,20.748,1811,16.986
Glyma01g00430.2|PACid:16242909,1140,17.487,990,15.113,1466,18.06,1510,14.371
Glyma01g00450.1|PACid:16242911,2,0,0,0,2,0,0,0
Glyma01g00460.1|PACid:16242912,347,4.384,386,4.853,524,5.317,581,4.554
Glyma01g00470.1|PACid:16242913,350,11.524,423,13.861,507,13.407,581,11.869
Glyma01g00480.1|PACid:16242914,14,0.384,2,0,0,0,4,0
Glyma01g00500.1|PACid:16242916,226,17.984,419,33.18,1047,66.91,1337,66.009
Glyma01g00510.1|PACid:16242917,1045,11.774,527,5.909,377,3.411,525,3.67
Glyma01g00520.1|PACid:16242918,192,7.029,133,4.845,182,5.351,223,5.065
Glyma01g00530.1|PACid:16242919,2,0,1,0,2,0,0,0
Glyma01g00540.1|PACid:16242920,306,22.192,31,2.237,41,2.388,156,7.019
Glyma01g00560.1|PACid:16242922,586,14.503,440,10.837,887,17.63,672,10.319
Glyma01g00570.1|PACid:16242923,446,23.993,276,14.776,679,29.336,547,18.258
Glyma01g00590.1|PACid:16242925,158,6.99,87,3.83,196,6.964,253,6.945
Glyma01g00600.1|PACid:16242926,277,11.376,31,1.267,95,3.133,279,7.109
Glyma01g00610.1|PACid:16242927,29,3.864,60,7.956,83,8.881,107,8.845
Glyma01g00610.2|PACid:16242928,74,9.86,67,8.884,78,8.346,113,9.341
Glyma01g00620.1|PACid:16242929,3,0,5,0,6,0,4,0
Glyma01g00630.1|PACid:16242930,0,0,0,0,0,0,2,0
Glyma01g00640.1|PACid:16242931,406,9.592,379,8.911,836,15.862,619,9.074
Glyma01g00660.1|PACid:16242933,1,0,0,0,1,0,1,0
